y	x	key	showSelected1	group
2	1	1	1	-1
2	1	2	2	-1
4	2	2	2	-1
2	1	3	3	-1
4	2	3	3	-1
6	3	3	3	-1
2	1	4	4	-1
4	2	4	4	-1
6	3	4	4	-1
8	4	4	4	-1
2	1	5	5	-1
4	2	5	5	-1
6	3	5	5	-1
8	4	5	5	-1
5	5	5	5	-1
2	1	6	6	-1
4	2	6	6	-1
6	3	6	6	-1
8	4	6	6	-1
5	5	6	6	-1
4	6	6	6	-1
2	1	7	7	-1
4	2	7	7	-1
6	3	7	7	-1
8	4	7	7	-1
5	5	7	7	-1
4	6	7	7	-1
4.66666666666667	7	7	7	-1
2	1	8	8	-1
4	2	8	8	-1
6	3	8	8	-1
8	4	8	8	-1
5	5	8	8	-1
4	6	8	8	-1
4.66666666666667	7	8	8	-1
4	8	8	8	-1
2	1	9	9	-1
4	2	9	9	-1
6	3	9	9	-1
8	4	9	9	-1
5	5	9	9	-1
4	6	9	9	-1
4.66666666666667	7	9	9	-1
4	8	9	9	-1
3.6	9	9	9	-1
2	1	10	10	-1
4	2	10	10	-1
6	3	10	10	-1
8	4	10	10	-1
5	5	10	10	-1
4	6	10	10	-1
4.66666666666667	7	10	10	-1
4	8	10	10	-1
3.6	9	10	10	-1
3.33333333333333	10	10	10	-1
2	1	11	11	-1
4	2	11	11	-1
6	3	11	11	-1
8	4	11	11	-1
5	5	11	11	-1
4	6	11	11	-1
4.66666666666667	7	11	11	-1
4	8	11	11	-1
3.6	9	11	11	-1
3.33333333333333	10	11	11	-1
3.14285714285714	11	11	11	-1
2	1	12	12	-1
4	2	12	12	-1
6	3	12	12	-1
8	4	12	12	-1
5	5	12	12	-1
4	6	12	12	-1
4.66666666666667	7	12	12	-1
4	8	12	12	-1
3.6	9	12	12	-1
3.33333333333333	10	12	12	-1
3.14285714285714	11	12	12	-1
3	12	12	12	-1
2	1	13	13	-1
4	2	13	13	-1
6	3	13	13	-1
8	4	13	13	-1
5	5	13	13	-1
4	6	13	13	-1
4.66666666666667	7	13	13	-1
4	8	13	13	-1
3.6	9	13	13	-1
3.33333333333333	10	13	13	-1
3.14285714285714	11	13	13	-1
3	12	13	13	-1
2.88888888888889	13	13	13	-1
2	1	14	14	-1
4	2	14	14	-1
6	3	14	14	-1
8	4	14	14	-1
5	5	14	14	-1
4	6	14	14	-1
4.66666666666667	7	14	14	-1
4	8	14	14	-1
3.6	9	14	14	-1
3.33333333333333	10	14	14	-1
3.14285714285714	11	14	14	-1
3	12	14	14	-1
2.88888888888889	13	14	14	-1
3.11111111111111	14	14	14	-1
2	1	15	15	-1
4	2	15	15	-1
6	3	15	15	-1
8	4	15	15	-1
5	5	15	15	-1
4	6	15	15	-1
4.66666666666667	7	15	15	-1
4	8	15	15	-1
3.6	9	15	15	-1
3.33333333333333	10	15	15	-1
3.14285714285714	11	15	15	-1
3	12	15	15	-1
2.88888888888889	13	15	15	-1
3.11111111111111	14	15	15	-1
3.33333333333333	15	15	15	-1
2	1	16	16	-1
4	2	16	16	-1
6	3	16	16	-1
8	4	16	16	-1
5	5	16	16	-1
4	6	16	16	-1
4.66666666666667	7	16	16	-1
4	8	16	16	-1
3.6	9	16	16	-1
3.33333333333333	10	16	16	-1
3.14285714285714	11	16	16	-1
3	12	16	16	-1
2.88888888888889	13	16	16	-1
3.11111111111111	14	16	16	-1
3.33333333333333	15	16	16	-1
3.2	16	16	16	-1
2	1	17	17	-1
4	2	17	17	-1
6	3	17	17	-1
8	4	17	17	-1
5	5	17	17	-1
4	6	17	17	-1
4.66666666666667	7	17	17	-1
4	8	17	17	-1
3.6	9	17	17	-1
3.33333333333333	10	17	17	-1
3.14285714285714	11	17	17	-1
3	12	17	17	-1
2.88888888888889	13	17	17	-1
3.11111111111111	14	17	17	-1
3.33333333333333	15	17	17	-1
3.2	16	17	17	-1
3.4	17	17	17	-1
2	1	18	18	-1
4	2	18	18	-1
6	3	18	18	-1
8	4	18	18	-1
5	5	18	18	-1
4	6	18	18	-1
4.66666666666667	7	18	18	-1
4	8	18	18	-1
3.6	9	18	18	-1
3.33333333333333	10	18	18	-1
3.14285714285714	11	18	18	-1
3	12	18	18	-1
2.88888888888889	13	18	18	-1
3.11111111111111	14	18	18	-1
3.33333333333333	15	18	18	-1
3.2	16	18	18	-1
3.4	17	18	18	-1
3.27272727272727	18	18	18	-1
2	1	19	19	-1
4	2	19	19	-1
6	3	19	19	-1
8	4	19	19	-1
5	5	19	19	-1
4	6	19	19	-1
4.66666666666667	7	19	19	-1
4	8	19	19	-1
3.6	9	19	19	-1
3.33333333333333	10	19	19	-1
3.14285714285714	11	19	19	-1
3	12	19	19	-1
2.88888888888889	13	19	19	-1
3.11111111111111	14	19	19	-1
3.33333333333333	15	19	19	-1
3.2	16	19	19	-1
3.4	17	19	19	-1
3.27272727272727	18	19	19	-1
3.16666666666667	19	19	19	-1
2	1	20	20	-1
4	2	20	20	-1
6	3	20	20	-1
8	4	20	20	-1
5	5	20	20	-1
4	6	20	20	-1
4.66666666666667	7	20	20	-1
4	8	20	20	-1
3.6	9	20	20	-1
3.33333333333333	10	20	20	-1
3.14285714285714	11	20	20	-1
3	12	20	20	-1
2.88888888888889	13	20	20	-1
3.11111111111111	14	20	20	-1
3.33333333333333	15	20	20	-1
3.2	16	20	20	-1
3.4	17	20	20	-1
3.27272727272727	18	20	20	-1
3.16666666666667	19	20	20	-1
3.33333333333333	20	20	20	-1
